scenario,metric,comparison_pair,condition_a,condition_b,test_type,statistic,p_value,p_value_adj_fdr,effect_size_cohen_d,ci_lower_95,ci_upper_95,n_pairs,caution_flag
grid_3_light,avg_waiting_time,signal_and_routing_vs_signal_only,signal_and_routing,signal_only,paired_ttest,2.378739752532793,0.04131294128830933,0.08325548344318,0.7522235578788911,4.778023943347019,37.24882677954913,10,none
grid_3_light,avg_waiting_time,signal_and_routing_vs_signal_only,signal_and_routing,signal_only,wilcoxon_signed_rank,8.0,0.048828125,0.09229957805907173,0.7522235578788911,4.778023943347019,37.24882677954913,10,none
grid_3_light,avg_waiting_time,signal_and_routing_vs_routing_only,signal_and_routing,routing_only,paired_ttest,10.20348910919946,3.0251022999098553e-06,6.031859096382807e-05,3.226626566579281,33.656451500047595,48.715119093588726,10,none
grid_3_light,avg_waiting_time,signal_and_routing_vs_routing_only,signal_and_routing,routing_only,wilcoxon_signed_rank,0.0,0.001953125,0.008413461538461538,3.226626566579281,33.656451500047595,48.715119093588726,10,none
grid_3_light,avg_waiting_time,signal_and_routing_vs_combined,signal_and_routing,combined,paired_ttest,3.7184562097362566,0.004782024886129343,0.018310659393042272,1.175879100236335,14.44369575225246,40.52422765833136,10,none
grid_3_light,avg_waiting_time,signal_and_routing_vs_combined,signal_and_routing,combined,wilcoxon_signed_rank,2.0,0.005859375,0.021169354838709676,1.175879100236335,14.44369575225246,40.52422765833136,10,none
grid_3_light,avg_waiting_time,signal_only_vs_vsl_only,signal_only,vsl_only,paired_ttest,3.6684723661033916,0.005167081236312287,0.019617393168372074,1.1600728210273792,9.207389799910416,28.299320218651346,10,none
grid_3_light,avg_waiting_time,signal_only_vs_vsl_only,signal_only,vsl_only,wilcoxon_signed_rank,0.0,0.001953125,0.008413461538461538,1.1600728210273792,9.207389799910416,28.299320218651346,10,none
grid_3_light,avg_waiting_time,signal_only_vs_routing_only,signal_only,routing_only,paired_ttest,3.6478405856116822,0.005335413082451369,0.019989500195104037,1.1535484791735364,10.122810749472434,30.96252155066788,10,none
grid_3_light,avg_waiting_time,signal_only_vs_routing_only,signal_only,routing_only,wilcoxon_signed_rank,0.0,0.001953125,0.008413461538461538,1.1535484791735364,10.122810749472434,30.96252155066788,10,none
grid_3_light,avg_waiting_time,vsl_only_vs_routing_only,vsl_only,routing_only,paired_ttest,2.422131679696802,0.03847588588268636,0.08325548344318,0.765945290069131,0.46581025609244575,3.0760044320933426,10,none
grid_3_light,avg_waiting_time,vsl_only_vs_routing_only,vsl_only,routing_only,wilcoxon_signed_rank,0.0,0.043114446783075355,0.08325548344318,0.765945290069131,0.46581025609244575,3.0760044320933426,10,none
grid_3_light,avg_waiting_time,combined_vs_signal_only,combined,signal_only,paired_ttest,-1.4622438604935644,0.17769664746494912,0.2959408849973874,-0.46240210937571674,-14.54458864543022,1.0163353718748602,10,none
grid_3_light,avg_waiting_time,combined_vs_signal_only,combined,signal_only,wilcoxon_signed_rank,3.0,0.22491588401596185,0.35416666666666663,-0.46240210937571674,-14.54458864543022,1.0163353718748602,10,none
grid_3_light,avg_waiting_time,combined_vs_vsl_only,combined,vsl_only,paired_ttest,3.0769172332763963,0.013205566150068338,0.044818891175989514,0.9730066628977047,4.910358908065025,20.617544759298166,10,none
grid_3_light,avg_waiting_time,combined_vs_vsl_only,combined,vsl_only,wilcoxon_signed_rank,0.0,0.001953125,0.008413461538461538,0.9730066628977047,4.910358908065025,20.617544759298166,10,none
grid_3_light,avg_waiting_time,combined_vs_routing_only,combined,routing_only,paired_ttest,3.1273922853996248,0.01217273773101086,0.041628904606815766,0.9889682758702166,6.231334315239502,23.30426141446254,10,none
grid_3_light,avg_waiting_time,combined_vs_routing_only,combined,routing_only,wilcoxon_signed_rank,0.0,0.001953125,0.008413461538461538,0.9889682758702166,6.231334315239502,23.30426141446254,10,none
grid_3_light,total_travel_time,signal_only_vs_baseline,signal_only,baseline,paired_ttest,2.974271953067275,0.015593896131435093,0.0484895570170984,0.940547375245002,8555.0,36701.5,10,none
grid_3_light,total_travel_time,signal_only_vs_baseline,signal_only,baseline,wilcoxon_signed_rank,0.0,0.027707849358079864,0.0630107437178669,0.940547375245002,8555.0,36701.5,10,none
grid_3_light,total_travel_time,vsl_only_vs_baseline,vsl_only,baseline,paired_ttest,2.817541964207552,0.020127626599480447,0.05230008878812714,0.8909850010000476,6900.0,36309.99999999999,10,none
grid_3_light,total_travel_time,vsl_only_vs_baseline,vsl_only,baseline,wilcoxon_signed_rank,0.0,0.04216819709715596,0.08325548344318,0.8909850010000476,6900.0,36309.99999999999,10,none
grid_3_light,total_travel_time,routing_only_vs_baseline,routing_only,baseline,paired_ttest,-1.5,0.16785065605707486,0.2816370558560658,-0.4743416490252569,-700.0,0.0,10,none
grid_3_light,total_travel_time,routing_only_vs_baseline,routing_only,baseline,wilcoxon_signed_rank,0.0,0.10247043485974937,0.1779331582060764,-0.4743416490252569,-700.0,0.0,10,none
grid_3_light,total_travel_time,signal_and_routing_vs_baseline,signal_and_routing,baseline,paired_ttest,11.74400318811213,9.250519874947438e-07,2.5292828578735826e-05,3.7137798922713214,46826.375,64982.875,10,none
grid_3_light,total_travel_time,signal_and_routing_vs_baseline,signal_and_routing,baseline,wilcoxon_signed_rank,0.0,0.001953125,0.008413461538461538,3.7137798922713214,46826.375,64982.875,10,none
grid_3_light,total_travel_time,signal_and_vsl_vs_baseline,signal_and_vsl,baseline,paired_ttest,17.81083563183154,1.0111048605352704e-07,4.529749775198012e-06,5.936945210610514,76699.86111111111,94583.33333333333,9,use_with_caution_small_n
grid_3_light,total_travel_time,signal_and_vsl_vs_baseline,signal_and_vsl,baseline,wilcoxon_signed_rank,0.0,0.00390625,0.015217391304347827,5.936945210610514,76699.86111111111,94583.33333333333,9,use_with_caution_small_n
grid_3_light,total_travel_time,vsl_and_routing_vs_baseline,vsl_and_routing,baseline,paired_ttest,9.059560563116259,8.08929260304143e-06,0.00011325009644258001,2.8648845979685005,44974.875,67315.75,10,none
grid_3_light,total_travel_time,vsl_and_routing_vs_baseline,vsl_and_routing,baseline,wilcoxon_signed_rank,0.0,0.001953125,0.008413461538461538,2.8648845979685005,44974.875,67315.75,10,none
grid_3_light,total_travel_time,combined_vs_baseline,combined,baseline,paired_ttest,2.9483649420831135,0.01626408872531661,0.0484895570170984,0.9323548590373067,14455.0,62300.0,10,none
grid_3_light,total_travel_time,combined_vs_baseline,combined,baseline,wilcoxon_signed_rank,0.0,0.027707849358079864,0.0630107437178669,0.9323548590373067,14455.0,62300.0,10,none
grid_3_light,total_travel_time,signal_and_routing_vs_signal_only,signal_and_routing,signal_only,paired_ttest,2.7947982622062253,0.02088941397910017,0.052872641031846766,0.8837928109252154,11624.875,55796.375,10,none
grid_3_light,total_travel_time,signal_and_routing_vs_signal_only,signal_and_routing,signal_only,wilcoxon_signed_rank,14.0,0.193359375,0.31170173633918297,0.8837928109252154,11624.875,55796.375,10,none
grid_3_light,total_travel_time,signal_and_routing_vs_routing_only,signal_and_routing,routing_only,paired_ttest,11.985983908191045,7.776918588106751e-07,2.5292828578735826e-05,3.7903009148010227,47084.875,65112.875,10,none
